0,2881
1,2903
2,2909
3,2909
4,2903
5,2939
6,2939
7,2903
8,2881
9,2903
10,2961
11,2971
12,2971
13,2999
14,2999
15,2961
16,911
17,911
18,3048
19,3048
20,3001
21,3001
22,3086
23,3086
24,3080
25,3080
26,3097
27,3097
28,3095
29,3095
30,921
31,921
32,3112
33,3112
34,3007
35,3007
36,3120
37,3120
38,2942
39,3090
40,3090
41,2894
42,2903
43,2909
44,2903
45,2900
46,2939
47,2903
48,2940
49,2961
50,2971
51,2971
52,3003
53,2999
54,2961
55,2999
56,911
57,911
58,3030
59,3001
60,3048
61,3048
62,2881
63,3001
64,3086
65,3080
66,3090
67,3095
68,3097
69,3080
70,921
71,921
72,3112
73,3007
74,3120
75,2881
76,2939
77,3120
78,2942
79,2884
80,2884
81,3164
82,2942
83,2884
84,2884
85,2942
86,3176
87,3189
88,3189
89,3188
90,3188
91,3193
92,3193
93,3191
94,3191
95,3214
96,3221
97,3221
98,3214
99,3223
100,3137
101,3137
102,3216
103,3216
104,3223
105,3222
106,3222
107,2961
108,3095
109,3095
110,3236
111,3240
112,3240
113,3236
114,3175
115,3242
116,3250
117,3250
118,3249
119,3175
120,3255
121,3255
122,3265
123,3265
124,3221
125,3112
126,2994
127,3176
128,3090
129,3189
130,3188
131,3095
132,3193
133,3193
134,3191
135,3191
136,2961
137,3007
138,3202
139,3214
140,3221
141,3224
142,3223
143,3221
144,3216
145,3137
146,3216
147,3137
148,3222
149,3223
150,3222
151,3095
152,3236
153,3240
154,3236
155,3175
156,3242
157,3250
158,3249
159,3250
160,3255
161,3249
162,3175
163,3258
164,3265
165,3221
166,3245
167,2894
168,2903
169,2903
170,2940
171,2971
172,2999
173,2961
174,911
175,3048
176,3001
177,3086
178,921
179,3007
180,3080
181,3080
182,3001
183,3193
184,3188
185,2961
186,3095
187,3007
188,2942
189,3221
190,3095
191,3221
192,2881
193,2961
194,3221
195,3223
196,3250
197,3265
198,3120
199,3272
200,3221
201,3267
202,3175
203,3120
204,3189
205,3120
206,3272
207,3236
208,2999
209,2894
210,2903
211,2903
212,2940
213,2971
214,2999
215,2961
216,911
217,3048
218,3001
219,3086
220,3095
221,3080
222,3007
223,2884
224,2942
225,3112
226,3193
227,3188
228,2961
229,3007
230,2881
231,3221
232,3137
233,3095
234,3223
235,3250
236,3221
237,2961
238,3265
239,3120
240,3221
241,3272
242,3221
243,3267
244,3175
245,3189
246,3120
247,2999
248,3272
249,3236
250,3095
251,3245
252,3245
253,3221
254,3270
255,3270
256,3272
257,3272
258,3252
259,3252
260,1111
261,1111
262,3267
263,3239
264,3267
265,3286
266,3286
267,3221
268,3298
269,3298
270,3293
271,2994
272,3293
273,3302
274,3302
275,3303
276,3303
277,3095
278,3306
279,3306
280,3307
281,2915
282,2915
283,3310
284,3310
285,3312
286,3239
287,3256
288,3256
289,3030
290,3221
291,3186
292,3186
293,3245
294,3270
295,3272
296,3252
297,1111
298,3272
299,3270
300,3267
301,3239
302,1111
303,3267
304,3286
305,3221
306,3189
307,3120
308,3214
309,3293
310,3298
311,3302
312,3293
313,3303
314,3306
315,3307
316,3306
317,3309
318,2915
319,3310
320,2903
321,3312
322,3239
323,3256
324,3256
325,3186
326,2892
327,3331
328,3242
329,3327
330,3342
331,3330
332,3342
333,3345
334,2903
335,2903
336,2961
337,2940
338,2971
339,911
340,3048
341,3001
342,3095
343,921
344,3080
345,2939
346,2881
347,3120
348,2884
349,2942
350,3112
351,3001
352,3090
353,2999
354,3221
355,3223
356,3236
357,3250
358,3249
359,3175
360,3272
361,3270
362,1111
363,3267
364,3120
365,3293
366,3095
367,3310
368,3214
369,3239
370,3256
371,3221
372,3242
373,3342
374,3306
375,3345
376,3193
377,2892
378,2892
379,3242
380,3327
381,3342
382,3342
383,3330
384,3330
385,3293
386,3345
387,3345
388,3293
389,2903
390,3337
391,3337
392,2632
393,2632
394,3217
395,3253
396,3217
397,3253
398,3084
399,3084
400,1823
401,3289
402,3289
403,3030
404,3307
405,3312
406,3221
407,3258
408,3350
409,1823
410,3341
411,3341
412,3370
413,3370
414,2932
415,2932
416,2884
417,2884
418,3256
419,2903
420,2903
421,2961
422,2961
423,3080
424,3080
425,3095
426,3095
427,3001
428,3221
429,3221
430,3001
431,2881
432,3223
433,3223
434,3293
435,3293
436,3250
437,3250
438,3095
439,3272
440,3272
441,3191
442,2999
443,2999
444,3256
445,3256
446,3095
447,2884
